"code","label","subcategory","feedback","criticality","organization","question","row_index"
"sa","Staff","Attitude Of Staff","I phoned the crisis team in the early hours of the morning. It had already taken me an hour to pluck up the courage to phone. I was very distressed and frightened and didn't know quite what to say or do as my mind was racing. I explained I felt very low and had thoughts to end my life. The Crisis worker was abrupt and the tone of voice gave the impression that they really couldn't be bothered to talk to me in my hour of need. They were quite patronising and made me feel worse. I was assured that someone would call me the following day to arrange an appointment with my psychiatrist. Three days passed and nobody called. It's now the weekend. I'm still in a state of distress but I will always think twice before even contemplating contacting the crisis team again. Every time I've called them in the past I have tended to receive an uncaring and patronising response. This isn't good enough.","-4","Care Opinion","Care Opinion - Q1",0
"ds","Dignity","Feeling safe including bullying","The nurses and whole team made me feel safe and looked after whilst I was an inpatient. Although I didn't always think it at times when poorly they all cared about me and did there best to help me despite not having enough staff at times. Thank you for caring - you all deserve medals!","2","Care Opinion","Care Opinion - Q1",1
"ss","Staff","Staff: General","Dear Anna (Community Matron) and all staff  
A big thank you to you all.","3","Care Opinion","Care Opinion - Q1",2
"cl","Care received","Made A Difference To My Life","To Lesley  
We wouldn't have managed without you.  
Thank you so much for everything.  
","4","Care Opinion","Care Opinion - Q1",3
"co","Care received","1-2-1 care/Time spent with service user","Thank you Jo, District Nurse, for taking the time to call and see me especially on a Sunday afternoon to discuss my catheter problems. Thank you","3","Care Opinion","Care Opinion - Q1",4
"cc","Care received","Care received","Please pass on my thanks to the nursing team for all the care given to my late husband and all the time spent with me. Thank you","3","Care Opinion","Care Opinion - Q1",5
"mi","Communication","Amount/clarity of information","Fantastic idea learnt some things about children's speech that I never realised even existed. &nbsp; My son has definitely benefited from the sessions and enjoyed each session. &nbsp; Fantastic lady and a big thank you.","2","Care Opinion","Care Opinion - Q1",6
"ss","Staff","Staff: General","I had a sure start worker (Emily) come out once a week to help me with my children's behavior, bed time routines and keeping my children safe around the home, I can not express enough how amazing she was and how much she helped me. When I first started working with her I found some things really difficult like bed times and my children's behavior I can now say I can handle these things brilliant thank-you to her help also I now know my children are safe at all times around the house with her tips and advise how to keep my children safe.  
I was really anxious about going into children's groups at the children centres and with all her encouragement and support I now go to two children's groups twice a week AND feel comfortable. I felt I could talk to her about anything and she always supported my decisions and choices about I felt would help me be the best person and being a mother. Although I now go to groups and she no longer comes to my home I still see her at the enter and she's always up for a chat if I need it she'll never be pushy for you to tell her anything but she's a really good listener and will give you the best advice. I can not thank her enough.","4","Care Opinion","Care Opinion - Q1",7
"co","Care received","1-2-1 care/Time spent with service user","I recently had a short stay in hospital, my doctor asked the Community Matron to ring me and arrange a home visit.  
I had a phone call from Julie and we booked an appointment for her to call. I am so grateful she did call me.  
Julie has been able to help and advise me, also reassure me that there is help should I need it. Her visits have enabled me to talke to her about any concerns I may have that I would not normally have time with my doctor to speak about.  
Julie is very easy to talk to and has given my husband and myself reassurance that we are not on our own.  
Thank you for this wonderful service and we hope that with all the cutbacks within the NHS this will not be one of them.  
","3","Care Opinion","Care Opinion - Q1",8
"cs","Care received","Advice and support","I attended bumps and babies about babies talking, I asked how to get my baby to say mum. Tracey shared some ideas and said that if I said mum to my baby lots of times over the week she would say mam mam by next week and she did and now she says it all the time and this has made me very happy and I couldn't wait to share this with everyone in group today.","1","Care Opinion","Care Opinion - Q1",9
"sp","Staff","Professionalism/Competence Of Staff","Had slight concerns about my son not saying 50 words at his 2 year review.  
Dawn rang and reassured me that I shouldn't worry and made an appointment for the following week.  
Every week Dawn showed me different ways to encourage my son to talk through play. My son has enjoyed Dawn coming each week and has attempted lot's of new words and has started to put two words together.  
The leaflets I have been given are very helpful as a reference to look back on. Me and my son are very grateful for Dawn's help.","2","Care Opinion","Care Opinion - Q1",10
"ap","Access","Provision of services","Things seem to be changing in the PD Service at Rampton. re the Chilton day Centre. I hope we are still going to get our sessions there and hopefully more ? can you update me on this as things seem to have changed  
Give the new staff a chance and see what happens. Thank you for all your support","2","Care Opinion","Care Opinion - Q1",11
"cl","Care received","Made A Difference To My Life","Someone I care for had a stroke with aphasia and right side weakness so he couldn't walk or talk. The County Community Stroke Team visited for over a year and he can now walk short distances outside as well as inside, go up and down the stairs and is getting words out. He wouldn't be where he is today without the team. The regular visits made a difference.","3","Care Opinion","Care Opinion - Q1",12
"cr","Care received","Rules/approach to care","I joined a training course last October to become a Perinatal Support Worker. It was a great course and I learnt lots of new skills. I was also offered the opportunity to take part in additional courses, such as Paediatric First Aid and Speech and language courses.  
Once we had completed the training I was able to meet new mums to offer support and someone to talk to, in the early days of bringing home a new baby.  
I really enjoyed my time volunteering at Hawtonville Children's Centre and the new skills and confidence that I gained whilst being a volunteer have helped me to apply for jobs and I am happy to say I start in a new role as a one to one teaching assistant very soon.","1","Care Opinion","Care Opinion - Q1",13
"cs","Care received","Advice and support","My child has always had very little water confidence. We went to swimming lessons as a baby but he didn’t take to them very well at all so we stopped. He is now 3 and I started to get concerned about the safety aspect of him not being able to swim, particularly after he fell into a pond whilst on holiday.  
It was my family who suggested that I bring him along to the SureStart swimming during the summer holidays so that he could learn from his cousins.  
My sister and sister in law regularly attend the sessions during term time and spoke very highly of them. Within just 2 weeks the progress he made was amazing and you could see that instead of clinging onto an adult for dear life, he was starting to relax and have moments of swimming independently.  
This gave me the confidence to join my son back up to some swimming lessons. He had to initially join a toddler group so that his daddy could go in the pool. By the end of the 6 weeks holidays he could swim by himself and actually enjoyed splashes due to the fun sessions that SureStart had offered.  
After being back at school for just 2 weeks my son has moved up swimming groups with no adults in or on the pool side, last Saturday he swam a width doing backstroke. I cannot thank you all enough for the help and encouragement you gave to my son who can now swim :)","3","Care Opinion","Care Opinion - Q1",14
