code,label,subcategory,feedback,criticality,organization,question,row_index
xn,Couldn't be improved,Nothing to improve,Nothing.,3,Trust A,Trust A - Q1,0
ee,Environment/ facilities,Environment/ facilities,Temperature in theatre a little low.,-1,Trust A,Trust A - Q1,1
ap,Access,Provision of services,Same service available at Bingham Health Centre.,-2,Trust A,Trust A - Q1,2
mi,Communication,Amount/clarity of information,"Appointment details given over phone - no physical evidence/reminder which could cause problems. Other than that, nothing apparent, thank you. Service on the day excellent, thank you.",-1,Trust A,Trust A - Q1,3
mm,Communication,Communication,On one occasion I was not made aware that my appointment could not be kept until I arrived at the centre. A phone call would have saved me a 22 mile round trip which would have been costly if I had had to take a taxi.,-3,Trust A,Trust A - Q1,4
eq,Environment/ facilities,Facilities/equipment,"The blood pressure monitor and cuff smelt of cigarettes which was quite unpleasant. Also old perfume/aftershave. I don't know if there is any way of removing the smell in between users, but it would be an improvement.",-2,Trust A,Trust A - Q1,5
xn,Couldn't be improved,Nothing to improve,Nothing at present.,3,Trust A,Trust A - Q1,6
wa,Access,Time spent waiting for first appt/referral/service,Long wait for the appointment.,-3,Trust A,Trust A - Q1,7
da,Dignity,Respect For Diversity/ Person-Centeredness,"2 Staff Members I had an issue with in regards to lack of patience with my capabilities, seeming to be interested in moving onto the next job.",-4,Trust A,Trust A - Q1,8
xn,Couldn't be improved,Nothing to improve,Absolutely nothing,3,Trust A,Trust A - Q1,9
mm,Communication,Communication,"Be more specific with time of visit, i.e. early or late morning; early or late afternoon",-1,Trust A,Trust A - Q1,10
xn,Couldn't be improved,Nothing to improve,Nothing,3,Trust A,Trust A - Q1,11
xn,Couldn't be improved,Nothing to improve,Nothing the care was brilliant,3,Trust A,Trust A - Q1,12
wb,Access,Time spent waiting between appointments,Really would like appointments closer together - they are too far apart for,-3,Trust A,Trust A - Q1,13
ss,Staff,Staff: General,"The support you receive is wholly variable based on who you speak to. At times the patronising, condescending and dismissive nature of some crisis team s",-3,Trust A,Trust A - Q1,14
ss,Staff,Staff: General,Reception staff some good some really awful.,-3,Trust A,Trust A - Q1,15
xn,Couldn't be improved,Nothing to improve,Nothing,3,Trust A,Trust A - Q1,16
xn,Couldn't be improved,Nothing to improve,Cant think of anything.,3,Trust A,Trust A - Q1,17
xn,Couldn't be improved,Nothing to improve,"No, happy with service.",3,Trust A,Trust A - Q1,18
xn,Couldn't be improved,Nothing to improve,Nothing,3,Trust A,Trust A - Q1,19
xn,Couldn't be improved,Nothing to improve,Happy with the service.,3,Trust A,Trust A - Q1,20
cc,Care received,Care received,Have more respiratory patients.,-1,Trust A,Trust A - Q1,21
xn,Couldn't be improved,Nothing to improve,Nothing.,3,Trust A,Trust A - Q1,22
