Date,Code1,Code2,Criticality,Please can you tell us why you gave this answer.
2020-05-29,SP,MM,4,* * was my staff nurse. She was a pleasure to talk too and very caring and efficient. She is perfect.
2020-05-07,CC,CE,3,* and * have looked after * so well. They always make him feel better and are quick with chemotherapy. Thank you from me and *.
2020-06-01,SP,NA,3,* and * very good at cannulation Thank you
2020-07-22,SS,NA,4,* and the whole team are amazing * especially she is so caring and compassionate
2020-06-10,CO,SA,4,"* came in an operation room with me yesterday made sure I was okay. She help me get through this, the nurse is a fantastic nurse. * (ward) she is a brilliant member of staff is there when you need them too."
2020-07-06,XX,NA,0,* Doesn’t like being in hospital
2020-06-29,SA,NA,2,* is #hilarious. All nurses were lovely and nothing is ever too much trouble.
2020-05-28,SS,NA,3,* is a star
2020-06-08,SS,NA,3,* is always kind and welcoming
2020-07-24,SP,NA,4,* is amazing she runs everything and always finds out the answer
2020-07-17,XX,NA,0,* is not Dead
2020-07-22,CC,NA,2,* said it was very good
2020-07-14,SP,NA,2,* the only person I have really seen was so lovely and reassuring
2020-05-22,SP,NA,4,* was absolutely amazing she went above and beyond
2020-04-17,SP,SA,3,* was always a professional and courteous nurse. Thank you very much and also to rest of the department
2020-06-01,SA,NA,3,"* was very friendly and kind, he is a credit to the ward"
2020-07-03,SS,NA,4,* you are amazing
2020-07-24,SP,CE,4,"*, * and the whole team were fantastic again and made what was a nervous experience for my son very calming and pleasant."
2020-05-22,SS,NA,3,"*, *, * and * were absolutely great"
2020-06-09,SA,CC,4,"*, *, * and all the staff from * were lovely and took great care of me. Thank you all for making me feel comfortable through this unpleasant experience."
2020-05-19,SS,NA,4,... * is a fantastic nurse and took great care on me .
2020-07-23,XX,NA,0,/
2020-07-29,SS,NA,4,“Ward” staff were fantastic.
2020-06-29,CC,NA,4,10 out of 10 care.
2020-05-29,CC,NA,4,10/10!
2020-06-01,CC,NA,4,1st class service as always
2020-07-22,CC,NA,3,95/100 few things not done on time but maybe very busy.
2020-07-24,CC,NA,3,A great stay all the way through. No complaints.
2020-05-19,SP,NA,3,A lot of patience with all people in hospital
2020-07-27,CC,NA,3,"A pleasant stay, looked after properly"
2020-07-13,CC,MI,4,"A team of professionals .trained.caring.happy. Led Mr *, who is very much in touch with everyone. I was always reassured, everything explained. Surgery was successful, obviously . Aftercare was brilliant,nursing staff, physios, caterers, other departments, in my case. Great support."
2020-07-09,SP,SA,3,A warm and friendly welcome and treatment at all times while still feeling professional. Especially good during these strange covid times.
2020-06-29,SA,CC,4,"Absolutely amazing, I highly recommend the ward Staff were so lovely and kind I will miss them all very much  Brilliant ward"
2020-08-27,XN,NA,4,Absolutely nothing
2020-06-10,SS,CE,3,"Absolutely nothing your all amazing, my first time in the hospital and you were all reassuring."
2020-08-26,XN,NA,4,"Absolutely nothing, you do an ace job."
2020-08-28,XN,NA,4,Absolutely nothing.
2020-07-24,CC,NA,4,All aspects of my care were perfect
2020-07-16,CC,NA,3,All aspects very good
2020-06-25,CC,NA,2,All been good
2020-08-17,CC,SS,3,All brill thank you staff are wonderful
2020-07-01,CC,SS,4,All doing a fabulous job thank you
2020-06-15,SS,NA,4,All drs and nurses perfect
2020-08-21,CC,NA,2,All good
2020-08-26,CC,NA,2,All good
2020-08-17,CC,NA,2,All great care!
2020-06-22,SA,NA,3,All helpful and friendly.
2020-06-25,SP,CL,4,All members of staff are very professional and saved my life basically.and big thank u to all.
2020-08-17,SA,MI,3,"All members of staff were friendly and helpful, all were there to give answers to questions. All in all I would recommend this hospital to all friends and family with no hesitation."
2020-08-27,CC,NA,3,All my exes were met couldn’t ask for better
2020-07-27,SS,MI,3,All nurses and doctors and ward staff are so caring - professional and friendly all very easy to talk to. All will answer question if asked
2020-06-22,SS,NA,3,All nurses brilliant
2020-07-29,SP,NA,4,All of the staff here do a brilliant job caring for everyone and go the extra mile to make sure you’re ok
2020-07-21,SS,NA,4,All of the staff involved in *’s care have been fantastic
2020-05-13,SA,NA,3,All of the staff were lovely and cheerful
2020-06-15,SS,EF,3,All of the staff were lovely and if I needed something there was very little wait. The food was very good. And the room with en suite is probably the nicest one I will stay in this year. 😀
2020-06-22,SA,MI,3,"All of the staff were so very kind, helpful, and would answer any of my worries/questions Beautiful people xxx"
2020-07-29,EP,NA,-1,All ok except no transport home- I have had it in the past
