"code","target","feedback","criticality","trust","question"
"xn","Miscellaneous","Nothing.","-9","Trust A","Trust A - Q1"
"ee","Environment/facilities","Temperature in theatre a little low.","-1","Trust A","Trust A - Q1"
"ap","Access","Same service available at Bingham Health Centre.","-2","Trust A","Trust A - Q1"
"mi","Communication","Appointment details given over phone - no physical evidence/reminder which could cause problems. Other than that, nothing apparent, thank you. Service on the day excellent, thank you.","-1","Trust A","Trust A - Q1"
"eq","Environment/facilities","The band kept slipping down my arm. It made me distressed in case it wasn't working right. I felt if my blood pressure was alright before, it certainly was high during and after. (better equipment).","-2","Trust A","Trust A - Q1"
"mm","Communication","On one occasion I was not made aware that my appointment could not be kept until I arrived at the centre. A phone call would have saved me a 22 mile round trip which would have been costly if I had had to take a taxi.","-3","Trust A","Trust A - Q1"
"eq","Environment/facilities","The blood pressure monitor and cuff smelt of cigarettes which was quite unpleasant. Also old perfume/aftershave. I don't know if there is any way of removing the smell in between users, but it would be an improvement.","-2","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing at present.","-9","Trust A","Trust A - Q1"
"wa","Access","Long wait for the appointment.","-3","Trust A","Trust A - Q1"
"da","Dignity","2 Staff Members I had an issue with in regards to lack of patience with my capabilities, seeming to be interested in moving onto the next job.","-4","Trust A","Trust A - Q1"
"xn","Miscellaneous","Absolutely nothing","0","Trust A","Trust A - Q1"
"mm","Communication","Be more specific with time of visit, i.e. early or late morning; early or late afternoon","-1","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing","0","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing the care was brilliant","0","Trust A","Trust A - Q1"
"wb","Access","Really would like appointments closer together - they are too far apart for","-3","Trust A","Trust A - Q1"
"ss","Staff","The support you receive is wholly variable based on who you speak to. At times the patronising, condescending and dismissive nature of some crisis team s","-3","Trust A","Trust A - Q1"
"ss","Staff","Reception staff some good some really awful.","-3","Trust A","Trust A - Q1"
"xn","Miscellaneous","NULL","0","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing","-9","Trust A","Trust A - Q1"
"xn","Miscellaneous","Cant think of anything.","-9","Trust A","Trust A - Q1"
"xn","Miscellaneous","I've never had a problem.","-9","Trust A","Trust A - Q1"
"xn","Miscellaneous","No, happy with service.","-3","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing","-3","Trust A","Trust A - Q1"
"xn","Miscellaneous","Happy with the service.","-3","Trust A","Trust A - Q1"
"cc","Care received","Have more respiratory patients.","-1","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing.","0","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing.
","0","Trust A","Trust A - Q1"
"xn","Miscellaneous","Everything has been ok thanks.","0","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing you have all been brilliant.","-3","Trust A","Trust A - Q1"
"xn","Miscellaneous","All good.","-3","Trust A","Trust A - Q1"
"xn","Miscellaneous","very happy with all service","-3","Trust A","Trust A - Q1"
"xn","Miscellaneous","Nothing. I came for a blood pressure monitor. Not an unpleasant experience.","0","Trust A","Trust A - Q1"
"xn","Miscellaneous","Not sure?","-9","Trust A","Trust A - Q1"
