,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selectperc__percentile,param_preprocessor__text__tfidf__use_idf,param_preprocessor__text__tfidf__norm,param_preprocessor__text__tfidf__ngram_range,param_preprocessor__text__tfidf__min_df,param_preprocessor__text__tfidf__max_df,param_clf__estimator__penalty,param_clf__estimator__class_weight,param_clf__estimator,param_clf__estimator__alpha,param_clf__estimator__loss,param_clf__estimator__max_features,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Balanced Accuracy,split1_test_Balanced Accuracy,split2_test_Balanced Accuracy,split3_test_Balanced Accuracy,split4_test_Balanced Accuracy,mean_test_Balanced Accuracy,std_test_Balanced Accuracy,rank_test_Balanced Accuracy,split0_test_Matthews Correlation Coefficient,split1_test_Matthews Correlation Coefficient,split2_test_Matthews Correlation Coefficient,split3_test_Matthews Correlation Coefficient,split4_test_Matthews Correlation Coefficient,mean_test_Matthews Correlation Coefficient,std_test_Matthews Correlation Coefficient,rank_test_Matthews Correlation Coefficient,split0_test_Class Balance Accuracy,split1_test_Class Balance Accuracy,split2_test_Class Balance Accuracy,split3_test_Class Balance Accuracy,split4_test_Class Balance Accuracy,mean_test_Class Balance Accuracy,std_test_Class Balance Accuracy,rank_test_Class Balance Accuracy,learner
87,18.64292163848877,0.9647200828966497,1.4390376091003418,0.0715723861053272,100,False,,"(1, 3)",1,0.7,elasticnet,balanced,"SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')",,log,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__loss': 'log', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')}",0.7633510868000576,0.7623434576076004,0.7514034835180654,0.761623722470131,0.7578462424416931,0.7593135985675096,0.004371294626804757,4,0.5026893385771183,0.46435928343452637,0.46185095718183183,0.46100007753921396,0.46854242277221897,0.47168841590098187,0.015720603253281885,5,0.69886772654959,0.6963860752676864,0.6842645776104757,0.6953761616182775,0.6893490524528736,0.6928487186997806,0.005311580871485751,3,0.456815787769408,0.450458055877732,0.44668938226950133,0.4388138542930908,0.449827611814629,0.4485209384048723,0.005862532308038538,1,SGDClassifier
30,10.296718454360962,0.25808176203947036,1.35609712600708,0.08219669025735239,100,False,l2,"(1, 3)",1,0.7,,,PassiveAggressiveClassifier(),,,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator': PassiveAggressiveClassifier()}",0.7632071397725637,0.7596084640852167,0.752986900820498,0.7669497624874047,0.7646127267492082,0.7614729987829782,0.004865191170257907,3,0.4646121097330588,0.43588065424316946,0.4302723779160494,0.43798613165148637,0.4575992404953622,0.4452701028078253,0.013358672090429593,9,0.6970144809914263,0.6920027275776643,0.6843274882884439,0.7013699350794165,0.6964424262744852,0.6942314116422873,0.005773167380685596,2,0.4560785587117723,0.4248213013570793,0.41916325099941953,0.42814552901077363,0.44443362572799333,0.43452845316140765,0.013664402271226388,2,PassiveAggressiveClassifier
69,17.5528582572937,0.7898884301002413,1.4913257122039796,0.16254093892362037,70,False,,"(1, 3)",1,0.7,elasticnet,balanced,"SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')",,hinge,,"{'selectperc__percentile': 70, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__loss': 'hinge', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')}",0.7627752986900821,0.7593205700302289,0.7512595364905714,0.7548582121779185,0.7522315001439678,0.7560890235065536,0.004355881004381991,7,0.49065055583442396,0.4444883589015177,0.44926032440383484,0.4435929335944039,0.4515007240539992,0.4558985793576359,0.01762231243426349,6,0.6978099785694422,0.6928767246520854,0.6836217651772027,0.6872771096302833,0.6822307679174391,0.6887632691892905,0.005832336976910788,6,0.44023044895204033,0.4198494610002331,0.42846073510298205,0.42490815995418063,0.43241858685024875,0.4291734783719369,0.00690544092097542,3,SGDClassifier
91,11.877745866775513,0.463737540916293,1.497614574432373,0.09689183989569408,70,False,,"(1, 3)",1,0.7,l2,balanced,"SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')",,hinge,,"{'selectperc__percentile': 70, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__penalty': 'l2', 'clf__estimator__loss': 'hinge', 'clf__estimator__class_weight': 'balanced', 'clf__estimator': SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')}",0.7656542392399597,0.7564416294803512,0.7501079602706204,0.7604721462501799,0.7582781456953642,0.758190824187295,0.005085410324978673,5,0.474218066745988,0.4402691491765559,0.43651081264923236,0.43685743476363526,0.44709158872022065,0.4469894104111264,0.014135275157184898,8,0.7001112926430045,0.687372207797703,0.6797802441249885,0.6921433228482197,0.6875005729647337,0.6893815280757298,0.0066710624588071634,5,0.43438053357753864,0.428851898973215,0.4260513431963792,0.414668292229459,0.43315386517606586,0.4274211866305316,0.007040679479734195,4,SGDClassifier
72,41.35894284248352,2.57346102602403,1.454784345626831,0.1626883796936061,85,False,,"(1, 3)",1,0.7,,balanced,RidgeClassifier(),10.0,,,"{'selectperc__percentile': 85, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__alpha': 10.0, 'clf__estimator': RidgeClassifier()}",0.7270764358715992,0.7236217072117461,0.7263567007341298,0.7252051245141787,0.7264612726749208,0.725744248201315,0.0012214565724568047,17,0.49765216070020635,0.4745884858771268,0.4888713414255625,0.47900938123475034,0.4725452054264094,0.48253331493281115,0.00942391453808182,4,0.6576885508394072,0.6526127000567823,0.6560067821633118,0.6546224643569727,0.6523697861749845,0.6546600567182916,0.00202108227009654,15,0.4079879674036538,0.3937906997922431,0.4054030061651908,0.39846894532843014,0.39920715211332736,0.400971554160569,0.005095265580460295,5,RidgeClassifier
11,6.237866592407227,0.2393085729821702,1.2379005432128907,0.07922455341369004,100,False,l2,"(1, 3)",3,0.7,,,ComplementNB(),0.5,,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 0.5, 'clf__estimator': ComplementNB()}",0.7688210738448251,0.7685331797898374,0.7560097883978696,0.7715560673672088,0.7719550820616182,0.7673750382922717,0.005849085753593274,1,0.431935874663229,0.4226908144699809,0.4096963136817641,0.42447650369192746,0.433250108730093,0.42440992304739894,0.008417112313329308,12,0.7043593523354847,0.7030667147903477,0.6875721392508539,0.70703102261529,0.7058614934247603,0.7015781444833473,0.007130218780991643,1,0.4044677015926307,0.4012111987533052,0.3890115045016852,0.4013482310146046,0.4036855547858861,0.3999448381296224,0.005613558943238756,6,ComplementNB
41,11.954516696929932,0.5265470691960643,1.5276718616485596,0.16773315017259602,70,False,,"(1, 3)",1,0.95,l2,,"SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')",,log,,"{'selectperc__percentile': 70, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__penalty': 'l2', 'clf__estimator__loss': 'log', 'clf__estimator__class_weight': None, 'clf__estimator': SGDClassifier(class_weight='balanced', loss='log', max_iter=10000,
              penalty='elasticnet')}",0.7668058154599108,0.7614797754426371,0.755577947315388,0.7666618684324169,0.7587100489490354,0.7618470911198776,0.004405658772068953,2,0.43299437090629,0.3852906047218393,0.40019036519247164,0.4079828168993777,0.4051051445641761,0.40631266045683095,0.015463314756619674,13,0.6995362462460568,0.6918278694073554,0.6849230427536884,0.6979122121815245,0.6860633574413854,0.692052545606002,0.005951338216448847,4,0.4209298477958678,0.37177758083794266,0.3848445586510247,0.39694460434892614,0.3913857413199126,0.3931764665907348,0.016217205239217714,7,SGDClassifier
80,304.4133646965027,35.24146213860155,1.535703754425049,0.1073226824245604,85,False,,"(1, 3)",1,0.95,,balanced,RidgeClassifier(),0.1,,,"{'selectperc__percentile': 85, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__alpha': 0.1, 'clf__estimator': RidgeClassifier()}",0.7011659709227005,0.6995825536202678,0.7039009644450842,0.7057722758025047,0.7008350129570976,0.7022513555495309,0.0022549802128191084,21,0.45022814074442163,0.41108052337618134,0.4210992430286523,0.43925539018144155,0.4435168909267818,0.4330360376514958,0.014619361908025182,11,0.6215426363501031,0.6183788137333156,0.6235188598195878,0.6253952646264441,0.6166208829616173,0.6210912914982136,0.0032237578360644866,21,0.3923232162499768,0.3745411286585078,0.3779047280577559,0.398341979325175,0.39180266809627884,0.38698274407753885,0.00914318002745935,8,RidgeClassifier
89,8.123254919052124,0.43406330030545387,1.3715528964996337,0.08556209829615484,100,False,,"(1, 3)",1,0.7,,,ComplementNB(),1,,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 1, 'clf__estimator': ComplementNB()}",0.7584568878652655,0.749388225133151,0.7450698143083345,0.7557218943428818,0.7532392744025338,0.7523752192104334,0.004716451925879094,8,0.4240273765590171,0.39277392458649546,0.3908273028508583,0.40225968690420005,0.4114776919566956,0.40427319657145333,0.012322434143031469,15,0.6905683358323648,0.6776601883854151,0.6727289782118354,0.686310260974557,0.6806890832704798,0.6815913693349305,0.006287513753801958,8,0.40302209511350273,0.3736066094137815,0.3703362197417786,0.38322140923994186,0.3929691215047696,0.38463109100275483,0.012129480831428676,9,ComplementNB
49,8.0633376121521,0.09558194905966949,1.5226758003234864,0.15564266590598408,100,True,l2,"(1, 3)",1,0.7,,,ComplementNB(),0.5,,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 0.5, 'clf__estimator': ComplementNB()}",0.7634950338275515,0.7544263710954369,0.7485245429681877,0.7601842521951921,0.7553987906708898,0.7564057981514516,0.005129919224152771,6,0.42551726725633343,0.39601379597106895,0.38579075747436015,0.40512806633442944,0.41684169451589564,0.4058583163104175,0.014193404894361342,14,0.6966459095815793,0.6839552551287679,0.6773099568401139,0.6916195922338062,0.6833212073703636,0.6865703842309262,0.006784722227190734,7,0.403023566834224,0.3754075515553988,0.36326751245039,0.3855268139950282,0.3931505121147486,0.384075191389958,0.013795630247118157,10,ComplementNB
