,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selectperc__percentile,param_preprocessor__text__tfidf__use_idf,param_preprocessor__text__tfidf__norm,param_preprocessor__text__tfidf__ngram_range,param_preprocessor__text__tfidf__min_df,param_preprocessor__text__tfidf__max_df,param_clf__estimator__alpha,param_clf__estimator,param_clf__estimator__class_weight,param_clf__estimator__penalty,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Balanced Accuracy,split1_test_Balanced Accuracy,split2_test_Balanced Accuracy,split3_test_Balanced Accuracy,split4_test_Balanced Accuracy,mean_test_Balanced Accuracy,std_test_Balanced Accuracy,rank_test_Balanced Accuracy,split0_test_Matthews Correlation Coefficient,split1_test_Matthews Correlation Coefficient,split2_test_Matthews Correlation Coefficient,split3_test_Matthews Correlation Coefficient,split4_test_Matthews Correlation Coefficient,mean_test_Matthews Correlation Coefficient,std_test_Matthews Correlation Coefficient,rank_test_Matthews Correlation Coefficient,split0_test_Class Balance Accuracy,split1_test_Class Balance Accuracy,split2_test_Class Balance Accuracy,split3_test_Class Balance Accuracy,split4_test_Class Balance Accuracy,mean_test_Class Balance Accuracy,std_test_Class Balance Accuracy,rank_test_Class Balance Accuracy,learner
80,82.31048722267151,2.0976928636701864,1.4275940895080566,0.14395649040137445,100,False,,"(1, 3)",1,0.7,1.0,RidgeClassifier(),,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': None, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__class_weight': None, 'clf__estimator__alpha': 1.0, 'clf__estimator': RidgeClassifier()}",0.7547142651504246,0.7519792716280409,0.7514034835180654,0.7551461062329063,0.7503599193780593,0.7527206091814993,0.00188228360234716,6,0.46173081412916694,0.4230470512461751,0.43578005033295864,0.45046646498333315,0.447234237854305,0.4436517237091878,0.01321093778425556,15,0.6842286728001199,0.6801574131975978,0.6798342755406361,0.6837783524409706,0.6751813431928203,0.680636011434429,0.003268233927723941,10,0.4455680414800244,0.40345466065891294,0.4204623960450093,0.4265042775232219,0.41918359287862633,0.423034593717159,0.013598640819465938,1,RidgeClassifier
0,10.841501188278198,1.5843461801604268,1.3235970497131349,0.10777157698572554,10,False,l2,"(1, 3)",1,0.7,0.1,ComplementNB(),,,"{'selectperc__percentile': 10, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 0.1, 'clf__estimator': ComplementNB()}",0.7669497624874047,0.7653663451849719,0.755577947315388,0.7617676694976249,0.7634609847394184,0.7626245418449615,0.003932260941510416,1,0.4608633304891527,0.43153821347354315,0.4302874498037434,0.5048939762342963,0.4513169553705612,0.4557799850742594,0.02718630540279863,14,0.7032893781958013,0.699961195577474,0.6883259022011734,0.695420061184256,0.6960040233091725,0.6966001120935756,0.005025008547318581,1,0.42923483996984024,0.39923651990381903,0.40366293141143067,0.44068524166745787,0.41477044054852247,0.41751799470021406,0.015541749891164292,2,ComplementNB
62,12.219076442718507,0.5245677168148516,1.1537558555603027,0.07087704706954963,100,False,l2,"(1, 1)",1,0.95,0.1,RidgeClassifier(),,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__class_weight': None, 'clf__estimator__alpha': 0.1, 'clf__estimator': RidgeClassifier()}",0.7561537354253635,0.746941125665755,0.744494026198359,0.7588887289477473,0.7510797581341779,0.7515114748742805,0.005409131498482356,9,0.43815143263491224,0.416104983999434,0.40719586010507663,0.4356489721091861,0.4255048263726649,0.4245212150442548,0.011675428633489072,22,0.68636558981303,0.6739055133244116,0.6717111523642577,0.6891106904114687,0.6773339653649594,0.6796853822556256,0.006870021767923482,11,0.4250761658424793,0.40176740303807823,0.39317467557744457,0.4222353153717123,0.4065347661299171,0.40975766519192625,0.012162032136080162,3,RidgeClassifier
19,30.492684078216552,1.2328684632003943,1.4496325492858886,0.13028549597026706,50,False,l2,"(1, 3)",1,0.7,0.1,RidgeClassifier(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__class_weight': None, 'clf__estimator__alpha': 0.1, 'clf__estimator': RidgeClassifier()}",0.7609039873326616,0.7515474305455593,0.7470850726932489,0.7621995105801065,0.7592859199539304,0.7562043842211013,0.005871502911819005,5,0.4370146024106572,0.41273433750512256,0.41284850675476314,0.4178652456531595,0.42808031857878087,0.42170860218049666,0.00947293533936377,23,0.6926670581822718,0.6800978762032043,0.6747745032064547,0.6936420255281798,0.687906041929591,0.6858175010099403,0.00730976783467494,5,0.42533168270838345,0.40156913308830144,0.39916117435202664,0.40539260047332504,0.41544706488155375,0.40938033110071803,0.009722127868723568,4,RidgeClassifier
45,7.204042911529541,0.057553766320915745,1.1672241687774658,0.03669044911105724,10,True,l2,"(1, 3)",3,0.95,1.0,RidgeClassifier(),,,"{'selectperc__percentile': 10, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__class_weight': None, 'clf__estimator__alpha': 1.0, 'clf__estimator': RidgeClassifier()}",0.7594645170577228,0.7552900532604002,0.7483805959406938,0.7639268749100331,0.7564065649294558,0.756693721219661,0.005121652394753599,4,0.43542839249091597,0.41726175948048355,0.42248889951268154,0.42546286795630966,0.42557426204424387,0.42524323629692695,0.005919215591606943,21,0.690233018272951,0.6839869768466742,0.676420386734065,0.6951567606627599,0.6835016219320887,0.6858597528897078,0.00638325166017134,4,0.41930987634962874,0.4015727676115298,0.4050430482709434,0.4119031795989344,0.40541599395539896,0.4086489731572871,0.006289232865349148,5,RidgeClassifier
78,5.111881589889526,0.23772949033169605,0.9984311103820801,0.07156507357607138,100,False,l2,"(1, 1)",3,0.95,,PassiveAggressiveClassifier(),,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator': PassiveAggressiveClassifier()}",0.7430545559234202,0.7326903699438606,0.7318266877788974,0.7424787678134447,0.7356752087532393,0.7371451180425723,0.004767816908341659,17,0.45784769008081855,0.4514342626166452,0.4186729356890203,0.4464290535641804,0.43077442393502424,0.44103167317713776,0.014319555235213482,16,0.6731795517875013,0.6589995549345583,0.6579564456037512,0.6701780963908364,0.6608610879709136,0.6642349473375122,0.006221556302021632,17,0.4038823407946936,0.42050948255072407,0.4068571018303164,0.4065256083864303,0.40514700570428835,0.4085843078532906,0.006055655472178438,6,PassiveAggressiveClassifier
4,6.1139538288116455,0.10484238158593494,0.9703819751739502,0.07747620767663171,50,True,l2,"(1, 1)",1,0.95,1.0,RidgeClassifier(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.95, 'clf__estimator__class_weight': None, 'clf__estimator__alpha': 1.0, 'clf__estimator': RidgeClassifier()}",0.7594645170577228,0.752986900820498,0.7515474305455593,0.7650784511299842,0.7571264036855744,0.7572407406478676,0.004835222709688078,3,0.4354136765161358,0.4208247647670449,0.4077208304002408,0.44365938164031005,0.42809179192354635,0.4271420890494556,0.012322628963891817,20,0.6908228019220982,0.6819457187568437,0.6809583466799908,0.697099363074984,0.6853899707684862,0.6872432402404807,0.0060158897568594345,3,0.4175045337463427,0.4033975824701455,0.3915149375797407,0.42734063976618875,0.4031496334179904,0.40858146539608164,0.012483361601471614,7,RidgeClassifier
72,7.686697053909302,0.441638508811705,1.449793004989624,0.10117699751869368,100,True,l2,"(1, 3)",1,0.7,0.1,ComplementNB(),,,"{'selectperc__percentile': 100, 'preprocessor__text__tfidf__use_idf': True, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__alpha': 0.1, 'clf__estimator': ComplementNB()}",0.7590326759752412,0.749388225133151,0.746941125665755,0.7514034835180654,0.7528073711488626,0.751914576288215,0.004070461961254059,7,0.4321231090402487,0.406517013101464,0.40687686210039303,0.4800048387223226,0.4281877811050193,0.4307419208138895,0.026801692381251765,18,0.6916343678789408,0.678211260607444,0.675466248277249,0.6809635795800952,0.6807913193740165,0.6814133551435491,0.005489623254658676,7,0.4104868657003997,0.38666447146768484,0.38939923578121993,0.432384493355876,0.4015433496522964,0.40409568319149536,0.0165375397778334,8,ComplementNB
16,8.16435890197754,0.3916771108400898,1.322747278213501,0.12706691630283876,50,False,l2,"(1, 3)",3,0.7,,PassiveAggressiveClassifier(),,,"{'selectperc__percentile': 50, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 3, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator': PassiveAggressiveClassifier()}",0.7309630056139341,0.7218943428818195,0.715128832589607,0.7256369655966605,0.7286207889432768,0.7244487871250597,0.005561279487799604,26,0.4280023197635358,0.4020800107953192,0.4066890071554167,0.4028831372764933,0.42831457247115046,0.4135938094923831,0.011993901666899575,27,0.6560081103250965,0.6439112082679737,0.6354576856746524,0.6482840831820159,0.6503492659182557,0.6468020706735989,0.006878695773129467,28,0.3977353517331247,0.3970753905648666,0.4005896615374076,0.39601116212672816,0.42199494656776687,0.4026813025059788,0.00977518551542381,9,PassiveAggressiveClassifier
68,11.243852043151856,0.5057558428127951,1.3089197158813477,0.08365671494458085,10,False,l2,"(1, 3)",1,0.7,1.0,RidgeClassifier(),balanced,,"{'selectperc__percentile': 10, 'preprocessor__text__tfidf__use_idf': False, 'preprocessor__text__tfidf__norm': 'l2', 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__min_df': 1, 'preprocessor__text__tfidf__max_df': 0.7, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__alpha': 1.0, 'clf__estimator': RidgeClassifier()}",0.7054843817475169,0.7027493882251331,0.703037282280121,0.7040449114725781,0.7137921105672329,0.7058216148585165,0.004098543334635151,34,0.4992192693404172,0.5075199351586207,0.49364607909582303,0.47934735436050113,0.4949165464504199,0.49492983688115644,0.009180106509755212,11,0.6412326630496371,0.6372014804896131,0.6374340991506866,0.6388113992039803,0.6472430477283124,0.6403845379244458,0.0037167238795123973,29,0.39888481379621127,0.41690242562821583,0.3999196579624985,0.39207992938799985,0.40149072817624,0.4018555109902331,0.008181409060175435,10,RidgeClassifier
