,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_kbest__k,param_preprocessor__text__tfidf__ngram_range,param_preprocessor__text__tfidf__tokenizer,param_preprocessor__text__tfidf__use_idf,param_clf__estimator__class_weight,param_clf__estimator__penalty,param_clf__estimator__alpha,param_clf__estimator__max_features,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Balanced accuracy,split1_test_Balanced accuracy,split2_test_Balanced accuracy,split3_test_Balanced accuracy,split4_test_Balanced accuracy,mean_test_Balanced accuracy,std_test_Balanced accuracy,rank_test_Balanced accuracy,split0_test_Matthews correlation coefficient,split1_test_Matthews correlation coefficient,split2_test_Matthews correlation coefficient,split3_test_Matthews correlation coefficient,split4_test_Matthews correlation coefficient,mean_test_Matthews correlation coefficient,std_test_Matthews correlation coefficient,rank_test_Matthews correlation coefficient,learner
49,15.455088758468628,0.9797082193800329,3.012386131286621,0.6475332918986135,"LinearSVC(class_weight='balanced', max_iter=10000)",5000,"(1, 1)",<__main__.LemmaTokenizer object at 0x1a2a976150>,False,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': False}",0.7721318554771844,0.7712681733122211,0.7691089678998129,0.7790413127968907,0.7755542758422114,0.7734209170656642,0.0034936788318569957,28,0.5329557505661071,0.5341974913742444,0.511037516513517,0.5299179531238514,0.5144106685288469,0.5245038760213133,0.009776791587048772,1,0.712539834302737,0.7099527166787963,0.7080449194898751,0.7204655141869036,0.7135368457284214,0.7129079660773467,0.004243353983980873,22,LinearSVC
61,14.485889768600464,0.35909304380252144,2.671855115890503,0.09078539360291162,"LinearSVC(class_weight='balanced', max_iter=10000)",10000,"(1, 1)",<__main__.LemmaTokenizer object at 0x1a2a976150>,False,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': False}",0.7717000143947027,0.7704044911472578,0.7698287030372822,0.777457895494458,0.7754103080909877,0.7729602824329377,0.002971810327450546,29,0.5327518321493161,0.530515137796146,0.51196678569055,0.5271639467385562,0.5138136325318569,0.5232422669812851,0.00865727067397036,2,0.7118745204194119,0.7088882288765012,0.7088599434408485,0.7183035527358199,0.7132768438443307,0.7122406178633824,0.0034823682275150238,25,LinearSVC
51,4.307448863983154,0.44772220841082583,0.19791717529296876,0.008220723040817696,"LinearSVC(class_weight='balanced', max_iter=10000)",5000,"(1, 1)",,False,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.7728515906146538,0.7724197495321722,0.7679573916798618,0.7771700014394702,0.7732507918226317,0.772729905017758,0.0029282645600328403,30,0.5304024064231441,0.531695749705684,0.5085935584627318,0.5278836504016898,0.5024160582948859,0.5201982846576272,0.01221685634384769,3,0.7131050613414325,0.7113909345896064,0.7065921912123088,0.7177949183983919,0.7105386820772089,0.7118843575237898,0.0036465375503528957,27,LinearSVC
63,5.381563282012939,0.8803677018398484,0.24201407432556152,0.05264430089218113,"LinearSVC(class_weight='balanced', max_iter=10000)",10000,"(1, 1)",,False,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.7727076435871599,0.7741471138620988,0.7682452857348496,0.7765942133294947,0.77627411459833,0.7735936742223866,0.00302934318548611,27,0.5293181362221946,0.5337280903748574,0.5070006577429038,0.5195683650987809,0.5039183100746747,0.5187067119026822,0.011787409521533508,4,0.7128174250274195,0.7136321998440881,0.7068240907431704,0.7169752687478023,0.7141928395216816,0.7128883647768325,0.003338807602679477,23,LinearSVC
48,14.19161605834961,0.626957269367099,2.7068233489990234,0.13642969115158715,"LinearSVC(class_weight='balanced', max_iter=10000)",5000,"(1, 1)",<__main__.LemmaTokenizer object at 0x1a2a976150>,True,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': True}",0.7754426371095436,0.7735713257521232,0.7666618684324169,0.7748668489995681,0.7722430175640657,0.7725571395715436,0.003147771330068006,31,0.5271594973816449,0.5262308745062338,0.4945438588282036,0.5012489360688204,0.5072521703304681,0.5112870674230742,0.01321083579954689,5,0.7159217611804949,0.7123386618659138,0.7043339758531972,0.714329733414469,0.708921611928979,0.7111691488486107,0.004140420064561037,29,LinearSVC
60,14.093987321853637,0.25218273942889213,2.608138418197632,0.03552685193449254,"LinearSVC(class_weight='balanced', max_iter=10000)",10000,"(1, 1)",<__main__.LemmaTokenizer object at 0x1a2a976150>,True,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': True}",0.7727076435871599,0.7734273787246293,0.7683892327623435,0.7755865841370375,0.7710912755542758,0.7722404229530893,0.002407328786142503,32,0.5194359506750381,0.5216435245871657,0.4975591253185122,0.5047140178162783,0.5055308801200138,0.5097766997034017,0.009241747863149848,6,0.7123652039791772,0.7121395796263196,0.706568496169224,0.7152659408903052,0.7073165089015013,0.7107311459133054,0.0032925854760142816,31,LinearSVC
50,3.8111568450927735,0.16636104714633718,0.20945005416870116,0.0038407738483079044,"LinearSVC(class_weight='balanced', max_iter=10000)",5000,"(1, 1)",,True,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.7712681733122211,0.7727076435871599,0.7696847560097884,0.7735713257521232,0.7732507918226317,0.7720965380967849,0.0014410850955997479,33,0.5180950574321184,0.5141447294629122,0.5070632656115527,0.5162045428393389,0.4924961926023744,0.5096007575896594,0.009331835819018752,7,0.7105273599247461,0.7111752890956673,0.7083355406944418,0.712645203086157,0.7099467126522919,0.7105260210906608,0.0014174826769891764,32,LinearSVC
62,3.839690113067627,0.11428057391428462,0.21016244888305663,0.014383642349359715,"LinearSVC(class_weight='balanced', max_iter=10000)",10000,"(1, 1)",,True,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.7706923852022456,0.7718439614221966,0.7693968619548006,0.7735713257521232,0.7739706305787504,0.7718950329820232,0.0017209236649143127,35,0.5149983195278338,0.5111135605300087,0.5060070787424038,0.5159608649854188,0.4957850170517953,0.5087729681674921,0.007378838002394223,8,0.7097065461267948,0.7099574421661183,0.7077389898422048,0.7125330710561026,0.7107213574486752,0.7101314813279791,0.0015524472374006735,34,LinearSVC
69,19.59116325378418,0.2654140846520072,3.411918067932129,0.5003979930361038,"LinearSVC(class_weight='balanced', max_iter=10000)",10000,"(1, 3)",<__main__.LemmaTokenizer object at 0x1a2a976150>,False,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': False}",0.7706923852022456,0.7732834316971354,0.7630631927450698,0.7662300273499352,0.7660524042614454,0.7678642882511663,0.0036433363390401792,44,0.49992386622260704,0.4932044689725527,0.4919696744789617,0.48596910309537417,0.490870169018208,0.4923874563575407,0.00449748695236551,9,0.7104409230258526,0.7125216075330059,0.7004879850139615,0.7043654825011635,0.7015522000374903,0.7058736396222948,0.004796044382147748,38,LinearSVC
58,8.336185598373413,0.9012734087562387,0.554255199432373,0.03006388246392083,"LinearSVC(class_weight='balanced', max_iter=10000)",5000,"(1, 3)",,True,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.7372966748236649,0.7308190585864401,0.72376565423924,0.7344177342737872,0.7303484019579615,0.7313295047762187,0.004551466418709382,161,0.4907550276670559,0.47169070687873216,0.46979072588198045,0.5478271170423177,0.48122849667899503,0.4922584148298162,0.028773694896465484,10,0.6679203610913232,0.6591833335809871,0.6505134793887255,0.6637917767233552,0.656291088131506,0.6595400077831794,0.0060078077688185474,153,LinearSVC
57,20.043739128112794,1.7988184568874315,3.2034971714019775,0.2915343885228764,"LinearSVC(class_weight='balanced', max_iter=10000)",5000,"(1, 3)",<__main__.LemmaTokenizer object at 0x1a2a976150>,False,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': False}",0.7463653375557795,0.7426227148409386,0.7393119332085792,0.744494026198359,0.7446012093291102,0.7434790442265533,0.0023965911773020858,121,0.4935437367865896,0.49088257531450663,0.4765002367117588,0.4980198430648914,0.48537555099392443,0.4888643885743342,0.007413986286495489,11,0.6813205225982091,0.6755721736574203,0.6713569302384684,0.6783066123204161,0.6752235043440327,0.6763559486317093,0.0033268303733812554,101,LinearSVC
71,9.018404340744018,1.9134033526931988,0.548759126663208,0.0866747877913761,"LinearSVC(class_weight='balanced', max_iter=10000)",10000,"(1, 3)",,False,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.7704044911472578,0.7705484381747517,0.7610479343601555,0.7699726500647761,0.767348114022459,0.76786432555388,0.0036008775957426203,43,0.4950306162592425,0.4837276437936892,0.48267683772108505,0.4814247657645783,0.4952935440920926,0.48763068152613753,0.006192998614310675,12,0.7097472580672979,0.7087549997095522,0.6976058476845676,0.7086039459171122,0.7029164537852596,0.705525701032758,0.0046315818801634535,40,LinearSVC
59,8.166427183151246,0.5793192388502271,0.5267148017883301,0.05608565761567822,"LinearSVC(class_weight='balanced', max_iter=10000)",5000,"(1, 3)",,False,balanced,,,,"{'clf__estimator': LinearSVC(class_weight='balanced', max_iter=10000), 'clf__estimator__class_weight': 'balanced', 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.7475169137757305,0.7397437742910609,0.7352814164387506,0.7446379732258529,0.7456089835876764,0.7425578122638142,0.00445183444876694,127,0.49591716644679457,0.4800204625021139,0.46469503617156205,0.5013483759622299,0.4874408644405867,0.4858843811046574,0.012849812754452159,13,0.6816408043679414,0.6709914858526309,0.6655878878854505,0.6772702416130576,0.6761024802626884,0.6743185799963538,0.005528184446709534,111,LinearSVC
